Date,AUD,BRL,CAD,CNY,EUR,INR,JPY,KRW,MXN,NZD,NOK,RUB,SGD,ZAR,SEK,CHF,GBP,USD
1/4/10,0.572444,0.366684,0.614932,0.0934632,0.918271,0.0137213,0.00685842,0.000546571,0.0493845,,0.111589,,0.454606,0.0872421,0.0893491,0.61743,1.03531,0.638176
1/5/10,0.582631,0.370207,0.61506,0.0934327,0.921313,0.0138082,0.00695302,0.000551756,0.0497454,0.468503,0.112191,,0.456683,0.087569,0.0903918,0.618939,1.0216,0.63794
1/6/10,0.584402,0.371409,0.618859,0.0936668,0.917724,0.0138666,0.00698176,0.000558882,0.0501635,0.469606,0.112082,,0.457919,0.0871887,,0.618799,1.02222,0.639529
1/7/10,0.59085,0.369605,0.618769,0.0938087,0.916154,0.0139631,0.00694672,0.00056272,0.0501769,0.472552,0.111753,,0.459395,0.086611,0.090051,0.618829,1.01914,0.640488
1/8/10,0.586663,0.368217,0.619569,0.0938622,0.914731,0.0139931,0.00686905,0.000565551,0.0503668,0.469446,0.11197,,0.458362,0.0860822,0.0899799,0.618373,1.02586,0.640882
1/11/10,0.591801,0.366415,0.616197,0.0931131,0.923589,0.0140152,,0.000561153,0.0501792,0.470122,0.113471,0.0216027,0.458019,0.0869672,0.0903989,0.625472,1.02836,0.63573
1/12/10,0.58979,0.367368,0.613107,0.0931684,0.921134,0.014011,0.00689537,0.000568046,0.049972,0.472112,0.112574,0.0216526,0.457295,0.0850967,0.090419,0.624237,1.02673,0.636098
1/13/10,0.585801,0.363789,0.614339,0.0928802,0.92347,0.0138818,0.00695919,0.000564064,0.0496579,0.468298,0.112915,0.0213934,0.456301,0.0860993,0.0898188,0.623951,1.03216,0.634121
1/14/10,0.590767,0.364522,0.619342,0.0930846,0.920595,0.0139733,0.00692651,0.000564193,0.0498969,0.470148,0.112763,0.0215939,0.458386,0.0854176,0.0905281,0.622253,1.03397,0.635507
1/15/10,0.590093,0.360785,0.618669,0.0932204,0.914797,0.0139353,0.006986,0.000567173,0.050158,0.472673,0.112341,0.0215297,0.458321,0.0858294,0.0901452,0.620056,1.03661,0.636425
1/18/10,0.586765,0.359334,0.620553,,0.914054,0.0139319,0.00699812,,0.0502218,0.467046,0.112244,0.0214935,0.457482,0.0860797,0.0903592,0.620069,1.03924,0.636129
1/19/10,0.588982,0.35998,0.617383,0.0933987,0.910476,0.013977,0.00704567,0.000565829,0.0504145,0.471211,0.111736,0.0216012,0.459456,0.0858765,0.0907017,0.617084,1.04176,0.637633
1/20/10,0.587531,0.36103,0.611215,0.0938044,0.905057,0.0139376,0.00702612,0.000569626,0.050274,0.470781,0.111275,0.0215676,0.459519,0.0855619,0.089822,0.614146,1.0423,0.640431
1/21/10,0.587522,0.360352,0.61322,0.0941944,0.904433,0.0139892,0.0070244,0.000567945,0.0503511,0.464242,0.111035,0.0216173,0.459543,0.0854029,0.0892862,0.613923,1.03877,0.643084
1/22/10,0.578436,0.358001,0.606439,0.0938381,0.905547,0.0138757,0.0071222,0.000562707,0.0495041,0.454984,0.110494,0.0215372,0.456135,0.0845174,0.0890399,0.614643,1.03637,0.640642
1/25/10,0.580317,0.351995,0.604698,0.0937295,0.90551,0.0138565,0.0071028,0.000556379,0.049597,0.455474,0.1104,0.0212627,0.456511,0.0844741,0.0884133,0.616109,1.0333,0.639891
1/26/10,,0.352476,0.604386,0.093895,0.902865,,0.00709084,0.000557838,0.0498652,0.457683,0.109433,0.021146,0.457474,0.0839021,0.0879303,0.61335,1.03312,0.641012
1/27/10,0.577788,0.34891,0.601073,0.0938279,0.9014,0.013838,0.0071812,0.000556431,0.0495428,0.453198,0.109667,0.0211462,0.456925,0.0844513,0.0877183,0.612803,1.03938,0.640563
1/28/10,0.578834,0.347168,0.603622,0.0941007,0.899345,0.0138725,0.00711366,0.00055411,0.0494276,0.453688,0.109957,0.0211584,0.458032,0.084922,0.0882769,0.610796,1.04357,0.642435
1/29/10,0.573224,0.34682,0.604151,0.0942465,0.898602,0.0138758,0.00716106,0.000556352,0.0494566,0.453483,0.109425,0.0211435,0.458081,0.0851649,0.0877492,0.612899,1.03835,0.643421
2/1/10,0.570056,0.344459,0.605949,0.0945522,0.898108,0.01393,0.00715651,0.000557489,,0.452249,0.109571,0.0212344,0.457457,0.0850484,0.0879451,0.609266,1.02502,0.645517
2/2/10,0.567544,0.343613,0.607891,0.0944457,0.898644,0.0139414,0.00709965,0.000552141,0.0501006,0.456834,0.110351,0.0213627,0.456747,0.0863751,0.0885701,0.610597,1.0278,0.64479
2/3/10,0.569513,0.350635,0.606645,0.0942727,0.899996,0.0139789,0.00711936,0.000554771,0.0497384,0.458944,0.110213,0.0215407,0.456544,0.08633,0.0892635,0.611603,1.02846,0.64359
2/4/10,0.569919,0.353139,0.603007,0.09481,0.896272,0.0140436,0.00712066,0.000561767,0.0495281,0.454447,0.109716,0.0215717,0.45834,0.0855044,0.0886365,0.609767,1.02385,0.647268
2/5/10,0.562783,0.346791,0.604887,0.095023,0.888191,0.0139334,0.00723476,0.000562508,0.0492392,0.44562,0.108059,0.0212935,0.456763,0.0842521,0.0867301,0.605112,1.01989,0.648741
2/8/10,0.56292,0.346691,0.607812,0.0951874,0.888701,0.0138832,0.00726927,0.000554973,0.0493674,0.447308,0.108769,0.0212963,0.457142,0.0836387,0.087791,0.605321,1.01185,0.649873
2/9/10,0.563458,0.346809,0.607385,0.0951055,0.89343,0.0139095,0.00726443,0.000553722,0.0496266,0.443014,0.109597,0.021377,0.456703,0.0844337,0.087891,,1.01154,0.649295
2/10/10,0.566853,0.349346,0.607027,0.0948832,0.890019,0.0139123,0.00721334,0.000555253,0.0495982,0.450904,0.10973,0.0214162,0.456586,0.0843435,0.0883106,0.60891,1.01426,0.647758
2/11/10,0.576345,0.351068,0.616363,0.095005,0.889748,0.0139604,,0.000560151,0.0496596,0.449285,0.10988,0.0215306,0.459218,0.084453,0.0892465,0.607416,1.01395,0.648599
2/12/10,0.580004,0.352509,0.619526,0.0955665,0.885468,,0.00727501,0.000563843,0.0502777,0.455587,0.109819,0.0216324,0.461925,0.0848404,0.0900204,0.603369,1.01876,0.652423
2/15/10,0.577337,0.34862,0.620796,,0.885263,0.0140275,0.00721519,,0.05027,0.452618,0.109929,0.0215281,,0.0844927,0.0896444,,1.02176,0.650594
2/16/10,0.581111,0.348425,0.623663,,0.8875,0.0140804,0.00724088,0.000563019,0.0505297,0.452951,0.110222,0.0215897,,0.0843361,0.0901221,0.605148,1.02073,0.650231
2/17/10,0.585308,0.347866,0.620935,,0.891075,0.0141066,0.00718764,0.000563091,0.0504102,0.458976,0.111301,0.0216569,0.462549,0.0854757,0.0907321,0.607342,1.02357,0.649188
2/18/10,0.584726,0.356751,0.624792,,0.88597,0.0141288,0.00716988,0.000571482,0.0508426,0.458952,,0.0216855,0.463341,0.0855875,0.0901668,0.60438,1.01834,0.653033
2/19/10,0.584334,0.359235,0.629455,,0.8867,0.0141143,0.00713702,0.000571583,0.051107,0.457813,0.109396,0.0217536,0.46402,0.0851255,0.0898175,0.604119,1.00902,0.655892
2/22/10,0.588677,0.360733,0.626405,0.0956797,0.890071,0.0141511,0.00712806,,0.0510256,0.457838,0.110774,0.0216648,0.464096,0.0847781,0.0905671,0.606401,1.01065,0.653215
2/23/10,0.589173,0.362478,0.621696,0.0957724,0.887716,0.0141738,0.00717715,0.000568901,0.0508491,0.458602,0.110674,,,0.0850244,0.0916381,0.604678,1.00737,0.653838
2/24/10,0.583097,0.359206,0.618923,0.095643,0.88457,0.0141181,0.00723666,0.000568536,0.0507989,0.452112,0.110171,0.0217431,0.463226,0.0840907,0.0902819,0.604428,1.00876,0.652964
2/25/10,0.580829,0.359366,0.612521,0.0957765,0.882,0.0141041,0.00729354,0.000565579,0.0508833,0.45326,0.109694,0.0217577,0.463176,0.083829,0.0904379,0.603031,1.00081,0.653866
2/26/10,0.580654,0.355466,0.619887,0.0955768,0.885433,0.0141141,0.00731085,0.000563271,0.0510682,0.451199,0.110081,0.0217217,0.463188,0.0845746,0.0909081,0.605674,0.99329,0.652493
3/1/10,0.587481,0.361604,0.628131,0.0958845,0.885313,,0.00735478,,0.0513577,0.457679,0.109881,0.0218702,0.465956,0.085065,0.0914211,0.605471,0.973746,0.654575
3/2/10,0.587942,0.363573,0.633489,0.0958196,0.88623,0.0142143,0.00732521,0.000567535,0.0514023,0.457637,0.110112,0.0218208,0.465084,0.0862414,0.0907269,0.605238,0.979249,0.654141
3/3/10,0.589683,0.365176,0.633404,0.0954477,0.888824,0.0141957,0.00734592,0.000568324,0.0513462,0.453437,0.110078,0.0218549,0.465018,0.0864168,0.0904662,0.607763,0.980763,0.651583
3/4/10,0.586873,0.364706,0.631063,0.0952996,0.88919,0.0141982,0.00735515,0.000568376,0.0511521,0.451816,0.110452,0.0218151,0.464754,0.0873239,0.090956,0.607946,0.980398,0.650563
3/5/10,0.588395,0.36536,0.6351,0.0956939,0.887263,0.0142696,0.00731948,0.000572988,0.0516182,0.44827,0.110233,0.0218947,0.465985,0.0877453,0.0913656,0.606277,0.982378,0.653264
3/8/10,0.594947,0.366483,0.634773,0.0956445,0.892029,0.0143722,0.00722025,0.000576485,0.0515667,0.455417,0.110825,,0.466576,0.0885325,0.0920588,0.609131,0.986964,0.652927
